Model, Phase, Block, Item, Response, Clusters number
SUSTAIN, generalization, 6, 56, 2, 20,
SUSTAIN, generalization, 6, 59, 2.0, 21,
SUSTAIN, generalization, 6, 25, 2, 21,
SUSTAIN, generalization, 6, 46, 1, 21,
SUSTAIN, generalization, 6, 8, 1, 21,
SUSTAIN, generalization, 6, 15, 1, 21,
SUSTAIN, generalization, 6, 42, 1.0, 22,
SUSTAIN, generalization, 6, 58, 2, 22,
SUSTAIN, generalization, 6, 41, 1, 22,
SUSTAIN, generalization, 6, 20, 2, 22,
SUSTAIN, generalization, 6, 43, 1, 22,
SUSTAIN, generalization, 6, 39, 2.0, 23,
SUSTAIN, generalization, 6, 29, 1.0, 24,
SUSTAIN, generalization, 6, 24, 2, 24,
SUSTAIN, generalization, 6, 45, 1, 24,
SUSTAIN, generalization, 7, 36, 1.0, 3,
SUSTAIN, generalization, 7, 11, 1, 3,
SUSTAIN, generalization, 7, 27, 1, 3,
SUSTAIN, generalization, 7, 50, 2.0, 4,
SUSTAIN, generalization, 7, 13, 2.0, 5,
SUSTAIN, generalization, 7, 40, 1.0, 6,
SUSTAIN, generalization, 7, 35, 1, 6,
SUSTAIN, generalization, 7, 12, 2, 6,
SUSTAIN, generalization, 7, 16, 1.0, 7,
SUSTAIN, generalization, 7, 10, 1, 7,
SUSTAIN, generalization, 7, 6, 2, 7,
SUSTAIN, generalization, 7, 54, 1.0, 8,
SUSTAIN, generalization, 7, 23, 1, 8,
SUSTAIN, generalization, 7, 1, 1, 8,
SUSTAIN, generalization, 7, 8, 1, 8,
SUSTAIN, generalization, 7, 59, 1.0, 9,
SUSTAIN, generalization, 7, 28, 1, 9,
SUSTAIN, generalization, 7, 4, 2, 9,
SUSTAIN, generalization, 7, 18, 1, 9,
SUSTAIN, generalization, 7, 30, 2.0, 10,
SUSTAIN, generalization, 7, 15, 1, 10,
SUSTAIN, generalization, 7, 32, 1, 10,
SUSTAIN, generalization, 7, 9, 1, 10,
SUSTAIN, generalization, 7, 61, 1, 10,
SUSTAIN, generalization, 7, 55, 1, 10,
SUSTAIN, generalization, 7, 46, 1, 10,
SUSTAIN, generalization, 7, 57, 2.0, 11,
SUSTAIN, generalization, 7, 42, 2, 11,
SUSTAIN, generalization, 7, 43, 2.0, 12,
SUSTAIN, generalization, 7, 3, 2.0, 13,
SUSTAIN, generalization, 7, 39, 1, 13,
SUSTAIN, generalization, 7, 53, 1, 13,
SUSTAIN, generalization, 7, 52, 1, 13,
SUSTAIN, generalization, 7, 62, 1, 13,
SUSTAIN, generalization, 7, 19, 1.0, 14,
SUSTAIN, generalization, 7, 31, 2, 14,
SUSTAIN, generalization, 7, 2, 2, 14,
SUSTAIN, generalization, 7, 45, 2, 14,
SUSTAIN, generalization, 7, 7, 1.0, 15,
SUSTAIN, generalization, 7, 26, 2.0, 16,
SUSTAIN, generalization, 7, 44, 2, 16,
SUSTAIN, generalization, 7, 24, 1, 16,
SUSTAIN, generalization, 7, 25, 2, 16,
SUSTAIN, generalization, 7, 22, 2, 16,
